Username,label,Time,action
老客小头狐狸她妹 07:05,"['', '老客']",07:05,['点击了 【0329017】不退换 美国直邮 CK 男士短袖T恤【40LP852】']
老客小洁洁2003 07:06,"['', '老客']",07:06,['进入直播间']
新客大白兔兔兔 07:06,"['', '新客']",07:06,['从直播频道关注来了']
老客小财迷双黄连 07:06,"['', '老客']",07:06,['从推荐来了']
未关注新客蓝心情cathy 07:06,"['未关注', '新客']",07:06,['从推荐来了']
老客直率菇凉 07:05,"['', '老客']",07:05,['从直播频道关注来了']
未关注新客晶格格 07:06,"['未关注', '新客']",07:06,['点击了 【女店】不退换 美国直邮af女士背心【0703-900】']
老客Double 07:06,"['', '老客']",07:06,['进入直播间']
老客新新queen 07:05,"['', '老客']",07:05,['点击了 【0322083】不退换美国直邮LULU WovenAir 男士 纯色休闲裤']
未关注新客晞晞娜娜 07:06,"['未关注', '新客']",07:06,['进入直播间']
老客绿草青青 07:06,"['', '老客']",07:06,['点击了 【0329017】不退换 美国直邮 CK 男士短袖T恤【40LP852】']
老客tbNick_7nyh3 07:06,"['', '老客']",07:06,['进入直播间']
老客海王星 07:06,"['', '老客']",07:06,['进入直播间']
老客爱吃蓝莓的燕子 07:06,"['', '老客']",07:06,['点击了 【女店】不退换 美国直邮af女士背心【0703-900】']
新客没什么大不了的 07:06,"['', '新客']",07:06,['进入直播间']
老客悠在线 07:06,"['', '老客']",07:06,['从推荐来了']
老客小P2017 07:06,"['', '老客']",07:06,['点击了 【女店】不退换 美国直邮af女士背心【0703-900】']
老客小头狐狸她妹 07:06,"['', '老客']",07:06,['购买了 【0329017】不退换 美国直邮 CK 男士短袖T恤【40LP852】']
老客小洁洁2003 07:06,"['', '老客']",07:06,['从推荐来了']
新客Oo加油oO 07:06,"['', '新客']",07:06,['点击了 【0331013】不退换美国直邮CK男士短袖T恤刺绣小标款 【40HP265】']
老客江生生2008 07:05,"['', '老客']",07:05,['点击了 【0329017】不退换 美国直邮 CK 男士短袖T恤【40LP852】']
未关注新客pochibb:开发测试1 07:06,"['未关注', '新客']",07:06,['进入直播间']
未关注新客单眼皮小S 07:06,"['未关注', '新客']",07:06,['从推荐来了']
未关注新客可儿宝贝 07:06,"['未关注', '新客']",07:06,['从推荐来了']
新客小脑斧LuLu 07:06,"['', '新客']",07:06,['进入直播间']
未关注新客纤矜萧睫 07:06,"['未关注', '新客']",07:06,['进入直播间']
未关注新客唐果果母婴 07:06,"['未关注', '新客']",07:06,['进入直播间']
未关注新客磨人的磨人精 07:06,"['未关注', '新客']",07:06,['从推荐来了']
老客天蝎 07:06,"['', '老客']",07:06,['进入直播间']
