Username,Comment Time,Comment Content
璀璨星空(薇琪的小铺子),09:52,我94，112斤
龙猫(apple53192),09:53,妹子这几天去哪了？
璀璨星空(薇琪的小铺子),09:53,黑色胸围多少
龙猫(apple53192),09:53,上周都没看到你
龙猫(apple53192),09:54,65号，11岁女儿可以穿吗？
请叫我抠抠(komata),09:54,12其他颜色还有嘛
龙猫(apple53192),09:54,👌🏻
请叫我抠抠(komata),09:55,蓝色呢
璀璨星空(薇琪的小铺子),09:55,黑色你穿一下
胖丢(胖丢1010),08:39,你穿的几码
尧尧妈妈(yuyanguolijuan),08:40,我买了，但是收了105
请叫我抠抠(komata),08:40,有运费
尧尧妈妈(yuyanguolijuan),08:41,我今天买了好多[-哈哈哈]
请叫我抠抠(komata),08:41,来来来，看下63号
请叫我抠抠(komata),08:42,这是个啥色
叮叮当乐淘(乐在淘中119),08:42,51号链接看看，胸围多少
大西瓜ange_10l(zhangdiangel),08:42,，
晨仔(喜乐晨晨),08:43,[-加油]
兔粑龙嘛猪仔(fjxmkn),08:43,。
胖丢(胖丢1010),08:43,还有啥拉夫小标的T恤或衬衣吗
叮叮当乐淘(乐在淘中119),08:43,有L码的吗
Nico5029(tb61385029),08:44,54能秒吗
请叫我抠抠(komata),08:44,16号l码胸围多少啊？
Nico5029(tb61385029),08:45,54看看
sallys有有(sallys有有),08:45,49号链接胸围多少
Nico5029(tb61385029),08:46,左右有口袋吗？
Nico5029(tb61385029),08:46,好的👌🏻
叮叮当乐淘(乐在淘中119),08:47,51号链接有优惠吗？
请叫我抠抠(komata),08:47,花裤衩腰围多少？去西姐那晃了一圈
叮叮当乐淘(乐在淘中119),08:47,好的
多喝热水少做梦=3=(tongton9),08:48,47胸围多大
请叫我抠抠(komata),08:49,哈哈哈哈
爱吃豆瓣全鱼的嘟嘟很乐观(爱娃的家99),08:49,妹子8号是专柜的吗？
请叫我抠抠(komata),08:49,妹子，69上个身
爱吃豆瓣全鱼的嘟嘟很乐观(爱娃的家99),08:49,不是超市款吧
皮皮(cll冰0609),08:49,看下48
爱吃豆瓣全鱼的嘟嘟很乐观(爱娃的家99),08:50,妹子真好
皮皮(cll冰0609),08:50,看下48内里
请叫我抠抠(komata),08:51,我看能当裙子不
请叫我抠抠(komata),08:51,明白
你很皮的哈(tb2535675),08:52,腰围多少
橙子15667(橙子cathy),08:52,75号胸围
皮皮(cll冰0609),08:53,这个能穿到160
爱吃豆瓣全鱼的嘟嘟很乐观(爱娃的家99),08:53,妹子身上几号
皮皮(cll冰0609),08:53,秒吧
皮皮(cll冰0609),08:54,裙子
皮皮(cll冰0609),08:54,好的
皮皮(cll冰0609),08:55,没拍上
皮皮(cll冰0609),08:55,被别人拍走了
秋阿姨(laabby),08:55,看下40号
还是小冷(康嘉婧kjj),08:56,66看看
jiaojiao81355(jiaojiao81355),08:56,65号链接，身高165、体重106
jiaojiao81355(jiaojiao81355),08:56,65号链接，身高165、体重106，什么码合适
皮皮(cll冰0609),08:56,裙子没有了吗？大妹子
还是小冷(康嘉婧kjj),08:57,66看看
kiraying(kiraying1989),08:58,裙子什么面料
kiraying(kiraying1989),08:58,什么码数
kiraying(kiraying1989),08:58,太大了…
kiraying(kiraying1989),08:58,[-悲泣]
秋阿姨(laabby),08:58,能穿的，直接拍了[-哈哈哈]
还是小冷(康嘉婧kjj),08:59,66看看
秋阿姨(laabby),08:59,你身上的衣长多长，
秋阿姨(laabby),09:00,有肚子的漏不
还是小冷(康嘉婧kjj),09:00,66薄么
还是小冷(康嘉婧kjj),09:00,66秒一下哈哈
爱吃豆瓣全鱼的嘟嘟很乐观(爱娃的家99),09:01,83能穿吗
还是小冷(康嘉婧kjj),09:02,啊
还是小冷(康嘉婧kjj),09:02,我拍了249
run坨坨(chao5309),09:02,有没有加大
还是小冷(康嘉婧kjj),09:02,到手退20呢，哈哈
还是小冷(康嘉婧kjj),09:02,好的
多喝热水少做梦=3=(tongton9),09:02,你身上的有小码嘛
run坨坨(chao5309),09:02,香蕉共和国的短袖还有吗
还是小冷(康嘉婧kjj),09:03,改价一下吧
还是小冷(康嘉婧kjj),09:03,好的
多喝热水少做梦=3=(tongton9),09:03,中码胸围多少
还是小冷(康嘉婧kjj),09:03,我拍了
还是小冷(康嘉婧kjj),09:03,我联系客服改价？
多喝热水少做梦=3=(tongton9),09:03,再找找小码吧[-痛哭][-悲泣][-痛哭][-悲泣]
多喝热水少做梦=3=(tongton9),09:03,没抢到[-忧伤]
run坨坨(chao5309),09:04,你身上大码胸围多少？有没有加大？不是这个颜色也可以
爱吃豆瓣全鱼的嘟嘟很乐观(爱娃的家99),09:04,83能试吗？
run坨坨(chao5309),09:05,你身上大码胸围多少？有没有加大？不是这个颜色也可以
爱吃豆瓣全鱼的嘟嘟很乐观(爱娃的家99),09:06,不是灰色？能穿到多少斤
爱吃豆瓣全鱼的嘟嘟很乐观(爱娃的家99),09:07,材质是？
请叫我抠抠(komata),09:07,妹子，88号看看行么
hi小黏糊(hi_又欠),09:07,是不是那种偏紫色的
爱吃豆瓣全鱼的嘟嘟很乐观(爱娃的家99),09:07,L码
爱吃豆瓣全鱼的嘟嘟很乐观(爱娃的家99),09:07,写的L码
run坨坨(chao5309),09:08,有加大码？别的颜色也可以
run坨坨(chao5309),09:08,我记得以前好像有别的颜色
多喝热水少做梦=3=(tongton9),09:08,94秒一下可以不
爱吃豆瓣全鱼的嘟嘟很乐观(爱娃的家99),09:10,穿到多少斤
多喝热水少做梦=3=(tongton9),09:11,有小码嘛
橙子15667(橙子cathy),09:13,71号是男孩还是女孩的？
橙子15667(橙子cathy),09:15,47号99可以不？
橙子15667(橙子cathy),09:16,一样的码数吗
请叫我抠抠(komata),09:16,94号背心还有么
橙子15667(橙子cathy),09:16,闺蜜比我壮呢
请叫我抠抠(komata),09:16,一大早开会整的...看的断断续续
搂两捆小葱的虫(tb157463874),09:16,76号短裤看看
请叫我抠抠(komata),09:16,😭
请叫我抠抠(komata),09:17,都么了！
旅人509(pancake509),09:18,身后蓝色牛仔外套看看
旅人509(pancake509),09:19,好的
璀璨星空(薇琪的小铺子),09:19,帽子在几号？
璀璨星空(薇琪的小铺子),09:20,1
璀璨星空(薇琪的小铺子),09:20,多少钱
海棠亭畔(1436777640z),09:21,160.120
橙子15667(橙子cathy),09:22,75号可以秒吗
橙子15667(橙子cathy),09:23,不舍得
海棠亭畔(1436777640z),09:23,主播身高体重
橙子15667(橙子cathy),09:23,我是说不舍得🔪了你
run坨坨(chao5309),09:28,妹纸，47胸围多少
dudu:)(dudu13054205527),09:28,[-打call]
run坨坨(chao5309),09:29,妹纸47胸围多少
dudu:)(dudu13054205527),09:29,可爱的妹子[-花痴]
多喝热水少做梦=3=(tongton9),09:29,af粉色的s你试试
dudu:)(dudu13054205527),09:29,妹子我咋那么喜欢你呢[-露齿笑]
尧尧妈妈(yuyanguolijuan),09:29,激动人心啊
dudu:)(dudu13054205527),09:29,[-打call]
尧尧妈妈(yuyanguolijuan),09:30,[-机智][-机智][-机智]
dudu:)(dudu13054205527),09:30,激动的心颤抖的手
run坨坨(chao5309),09:30,妹纸，47和84都拍了，能给我优惠一下不
尧尧妈妈(yuyanguolijuan),09:30,666
青青(qinye0725),09:30,66
尧尧妈妈(yuyanguolijuan),09:30,888
小脚丫安安(liuxm1),09:30,88
yangdashou(ggjswy),09:30,西姐有款男士799的男生lulu外套cross chill黑色，上不？
小脚丫安安(liuxm1),09:30,8@
小小石头(tb509968566),09:30,[-666]
dudu:)(dudu13054205527),09:30,是8还是6[-大笑]
run坨坨(chao5309),09:31,66
尧尧妈妈(yuyanguolijuan),09:31,[-哈哈哈][-哈哈哈][-哈哈哈][-哈哈哈]
run坨坨(chao5309),09:31,88
